year,code,name
2007,10180,Abilene - TX
2008,10180,Abilene - TX
2009,10180,Abilene - TX
2010,10180,Abilene - TX
2011,10180,Abilene - TX
2012,10180,Abilene - TX
2007,10380,"Aguadilla, Isabela, San Sebastian - PR"
2008,10380,"Aguadilla, Isabela, San Sebastian - PR"
2009,10380,"Aguadilla, Isabela, San Sebastian - PR"
2010,10380,"Aguadilla, Isabela, San Sebastian - PR"
2011,10380,"Aguadilla, Isabela, San Sebastian - PR"
2012,10380,"Aguadilla, Isabela, San Sebastian - PR"
2007,10420,Akron - OH
2008,10420,Akron - OH
2009,10420,Akron - OH
2010,10420,Akron - OH
2011,10420,Akron - OH
2012,10420,Akron - OH
2007,10500,Albany - GA
2008,10500,Albany - GA
2009,10500,Albany - GA
2010,10500,Albany - GA
2011,10500,Albany - GA
2012,10500,Albany - GA
2007,10580,"Albany, Schenectady, Troy - NY"
2008,10580,"Albany, Schenectady, Troy - NY"
2009,10580,"Albany, Schenectady, Troy - NY"
2010,10580,"Albany, Schenectady, Troy - NY"
2011,10580,"Albany, Schenectady, Troy - NY"
2012,10580,"Albany, Schenectady, Troy - NY"
2007,10740,Albuquerque - NM
2008,10740,Albuquerque - NM
2009,10740,Albuquerque - NM
2010,10740,Albuquerque - NM
2011,10740,Albuquerque - NM
2012,10740,Albuquerque - NM
2007,10780,Alexandria - LA
2008,10780,Alexandria - LA
2009,10780,Alexandria - LA
2010,10780,Alexandria - LA
2011,10780,Alexandria - LA
2012,10780,Alexandria - LA
2007,10900,"Allentown, Bethlehem, Easton - PA, NJ"
2008,10900,"Allentown, Bethlehem, Easton - PA, NJ"
2009,10900,"Allentown, Bethlehem, Easton - PA, NJ"
2010,10900,"Allentown, Bethlehem, Easton - PA, NJ"
2011,10900,"Allentown, Bethlehem, Easton - PA, NJ"
2012,10900,"Allentown, Bethlehem, Easton - PA, NJ"
2007,11020,Altoona - PA
2008,11020,Altoona - PA
2009,11020,Altoona - PA
2010,11020,Altoona - PA
2011,11020,Altoona - PA
2012,11020,Altoona - PA
2007,11100,Amarillo - TX
2008,11100,Amarillo - TX
2009,11100,Amarillo - TX
2010,11100,Amarillo - TX
2011,11100,Amarillo - TX
2012,11100,Amarillo - TX
2007,11180,Ames - IA
2008,11180,Ames - IA
2009,11180,Ames - IA
2010,11180,Ames - IA
2011,11180,Ames - IA
2012,11180,Ames - IA
2007,11260,Anchorage - AK
2008,11260,Anchorage - AK
2009,11260,Anchorage - AK
2010,11260,Anchorage - AK
2011,11260,Anchorage - AK
2012,11260,Anchorage - AK
2007,11300,Anderson - IN
2008,11300,Anderson - IN
2009,11300,Anderson - IN
2010,11300,Anderson - IN
2011,11300,Anderson - IN
2012,11300,Anderson - IN
2007,11340,Anderson - SC
2008,11340,Anderson - SC
2009,11340,Anderson - SC
2010,11340,Anderson - SC
2011,11340,Anderson - SC
2012,11340,Anderson - SC
2007,11460,Ann Arbor - MI
2008,11460,Ann Arbor - MI
2009,11460,Ann Arbor - MI
2010,11460,Ann Arbor - MI
2011,11460,Ann Arbor - MI
2012,11460,Ann Arbor - MI
2007,11500,"Anniston, Oxford - AL"
2008,11500,"Anniston, Oxford - AL"
2009,11500,"Anniston, Oxford - AL"
2010,11500,"Anniston, Oxford - AL"
2011,11500,"Anniston, Oxford - AL"
2012,11500,"Anniston, Oxford - AL"
2007,11540,Appleton - WI
2008,11540,Appleton - WI
2009,11540,Appleton - WI
2010,11540,Appleton - WI
2011,11540,Appleton - WI
2012,11540,Appleton - WI
2007,11700,Asheville - NC
2008,11700,Asheville - NC
2009,11700,Asheville - NC
2010,11700,Asheville - NC
2011,11700,Asheville - NC
2012,11700,Asheville - NC
2007,12020,"Athens, Clarke County - GA"
2008,12020,"Athens, Clarke County - GA"
2009,12020,"Athens, Clarke County - GA"
2010,12020,"Athens, Clarke County - GA"
2011,12020,"Athens, Clarke County - GA"
2012,12020,"Athens, Clarke County - GA"
2007,12060,"Atlanta, Sandy Springs, Marietta - GA"
2008,12060,"Atlanta, Sandy Springs, Marietta - GA"
2009,12060,"Atlanta, Sandy Springs, Marietta - GA"
2010,12060,"Atlanta, Sandy Springs, Marietta - GA"
2011,12060,"Atlanta, Sandy Springs, Marietta - GA"
2012,12060,"Atlanta, Sandy Springs, Marietta - GA"
2007,12100,Atlantic City - NJ
2008,12100,"Atlantic City, Hammonton - NJ"
2009,12100,"Atlantic City, Hammonton - NJ"
2010,12100,"Atlantic City, Hammonton - NJ"
2011,12100,"Atlantic City, Hammonton - NJ"
2012,12100,"Atlantic City, Hammonton - NJ"
2007,12220,"Auburn, Opelika - AL"
2008,12220,"Auburn, Opelika - AL"
2009,12220,"Auburn, Opelika - AL"
2010,12220,"Auburn, Opelika - AL"
2011,12220,"Auburn, Opelika - AL"
2012,12220,"Auburn, Opelika - AL"
2007,12260,"Augusta, Richmond County - GA, SC"
2008,12260,"Augusta, Richmond County - GA, SC"
2009,12260,"Augusta, Richmond County - GA, SC"
2010,12260,"Augusta, Richmond County - GA, SC"
2011,12260,"Augusta, Richmond County - GA, SC"
2012,12260,"Augusta, Richmond County - GA, SC"
2007,12420,"Austin, Round Rock - TX"
2008,12420,"Austin, Round Rock - TX"
2009,12420,"Austin, Round Rock - TX"
2010,12420,"Austin, Round Rock, San Marcos - TX"
2011,12420,"Austin, Round Rock, San Marcos - TX"
2012,12420,"Austin, Round Rock, San Marcos - TX"
2007,12540,Bakersfield - CA
2008,12540,Bakersfield - CA
2009,12540,Bakersfield - CA
2010,12540,"Bakersfield, Delano - CA"
2011,12540,"Bakersfield, Delano - CA"
2012,12540,"Bakersfield, Delano - CA"
2007,12580,"Baltimore, Towson - MD"
2008,12580,"Baltimore, Towson - MD"
2009,12580,"Baltimore, Towson - MD"
2010,12580,"Baltimore, Towson - MD"
2011,12580,"Baltimore, Towson - MD"
2012,12580,"Baltimore, Towson - MD"
2007,12620,Bangor - ME
2008,12620,Bangor - ME
2009,12620,Bangor - ME
2010,12620,Bangor - ME
2011,12620,Bangor - ME
2012,12620,Bangor - ME
2007,12700,Barnstable Town - MA
2008,12700,Barnstable Town - MA
2009,12700,Barnstable Town - MA
2010,12700,Barnstable Town - MA
2011,12700,Barnstable Town - MA
2012,12700,Barnstable Town - MA
2007,12940,Baton Rouge - LA
2008,12940,Baton Rouge - LA
2009,12940,Baton Rouge - LA
2010,12940,Baton Rouge - LA
2011,12940,Baton Rouge - LA
2012,12940,Baton Rouge - LA
2007,12980,Battle Creek - MI
2008,12980,Battle Creek - MI
2009,12980,Battle Creek - MI
2010,12980,Battle Creek - MI
2011,12980,Battle Creek - MI
2012,12980,Battle Creek - MI
2007,13020,Bay City - MI
2008,13020,Bay City - MI
2009,13020,Bay City - MI
2010,13020,Bay City - MI
2011,13020,Bay City - MI
2012,13020,Bay City - MI
2007,13140,"Beaumont, Port Arthur - TX"
2008,13140,"Beaumont, Port Arthur - TX"
2009,13140,"Beaumont, Port Arthur - TX"
2010,13140,"Beaumont, Port Arthur - TX"
2011,13140,"Beaumont, Port Arthur - TX"
2012,13140,"Beaumont, Port Arthur - TX"
2007,13380,Bellingham - WA
2008,13380,Bellingham - WA
2009,13380,Bellingham - WA
2010,13380,Bellingham - WA
2011,13380,Bellingham - WA
2012,13380,Bellingham - WA
2007,13460,Bend - OR
2008,13460,Bend - OR
2009,13460,Bend - OR
2010,13460,Bend - OR
2011,13460,Bend - OR
2012,13460,Bend - OR
2008,13644,"Bethesda, Frederick, Gaithersburg - MD"
2009,13644,"Bethesda, Frederick, Rockville - MD"
2007,13644,"Bethesda, Gaithersburg, Frederick - MD"
2010,13644,"Bethesda, Rockville, Frederick - MD"
2011,13644,"Bethesda, Rockville, Frederick - MD"
2012,13644,"Bethesda, Rockville, Frederick - MD"
2007,13740,Billings - MT
2008,13740,Billings - MT
2009,13740,Billings - MT
2010,13740,Billings - MT
2011,13740,Billings - MT
2012,13740,Billings - MT
2007,13780,Binghamton - NY
2008,13780,Binghamton - NY
2009,13780,Binghamton - NY
2010,13780,Binghamton - NY
2011,13780,Binghamton - NY
2012,13780,Binghamton - NY
2007,13820,"Birmingham, Hoover - AL"
2008,13820,"Birmingham, Hoover - AL"
2009,13820,"Birmingham, Hoover - AL"
2010,13820,"Birmingham, Hoover - AL"
2011,13820,"Birmingham, Hoover - AL"
2012,13820,"Birmingham, Hoover - AL"
2007,13900,Bismarck - ND
2008,13900,Bismarck - ND
2009,13900,Bismarck - ND
2010,13900,Bismarck - ND
2011,13900,Bismarck - ND
2012,13900,Bismarck - ND
2007,13980,"Blacksburg, Christiansburg, Radford - VA"
2008,13980,"Blacksburg, Christiansburg, Radford - VA"
2009,13980,"Blacksburg, Christiansburg, Radford - VA"
2010,13980,"Blacksburg, Christiansburg, Radford - VA"
2011,13980,"Blacksburg, Christiansburg, Radford - VA"
2012,13980,"Blacksburg, Christiansburg, Radford - VA"
2007,14020,Bloomington - IN
2008,14020,Bloomington - IN
2009,14020,Bloomington - IN
2010,14020,Bloomington - IN
2011,14020,Bloomington - IN
2012,14020,Bloomington - IN
2007,14060,"Bloomington, Normal - IL"
2008,14060,"Bloomington, Normal - IL"
2009,14060,"Bloomington, Normal - IL"
2010,14060,"Bloomington, Normal - IL"
2011,14060,"Bloomington, Normal - IL"
2012,14060,"Bloomington, Normal - IL"
2007,14260,"Boise City, Nampa - ID"
2008,14260,"Boise City, Nampa - ID"
2009,14260,"Boise City, Nampa - ID"
2010,14260,"Boise City, Nampa - ID"
2011,14260,"Boise City, Nampa - ID"
2012,14260,"Boise City, Nampa - ID"
2007,14484,"Boston, Quincy - MA"
2008,14484,"Boston, Quincy - MA"
2009,14484,"Boston, Quincy - MA"
2010,14484,"Boston, Quincy - MA"
2011,14484,"Boston, Quincy - MA"
2012,14484,"Boston, Quincy - MA"
2007,14500,Boulder - CO
2008,14500,Boulder - CO
2009,14500,Boulder - CO
2010,14500,Boulder - CO
2011,14500,Boulder - CO
2012,14500,Boulder - CO
2007,14540,Bowling Green - KY
2008,14540,Bowling Green - KY
2009,14540,Bowling Green - KY
2010,14540,Bowling Green - KY
2011,14540,Bowling Green - KY
2012,14540,Bowling Green - KY
2008,14600,"Bradenton, Sarasota, Venice - FL"
2009,14600,"Bradenton, Sarasota, Venice - FL"
2007,14740,"Bremerton, Silverdale - WA"
2008,14740,"Bremerton, Silverdale - WA"
2009,14740,"Bremerton, Silverdale - WA"
2010,14740,"Bremerton, Silverdale - WA"
2011,14740,"Bremerton, Silverdale - WA"
2012,14740,"Bremerton, Silverdale - WA"
2007,14860,"Bridgeport, Stamford, Norwalk - CT"
2008,14860,"Bridgeport, Stamford, Norwalk - CT"
2009,14860,"Bridgeport, Stamford, Norwalk - CT"
2010,14860,"Bridgeport, Stamford, Norwalk - CT"
2011,14860,"Bridgeport, Stamford, Norwalk - CT"
2012,14860,"Bridgeport, Stamford, Norwalk - CT"
2007,15180,"Brownsville, Harlingen - TX"
2008,15180,"Brownsville, Harlingen - TX"
2009,15180,"Brownsville, Harlingen - TX"
2010,15180,"Brownsville, Harlingen - TX"
2011,15180,"Brownsville, Harlingen - TX"
2012,15180,"Brownsville, Harlingen - TX"
2007,15260,Brunswick - GA
2008,15260,Brunswick - GA
2009,15260,Brunswick - GA
2010,15260,Brunswick - GA
2011,15260,Brunswick - GA
2012,15260,Brunswick - GA
2007,15380,"Buffalo, Niagara Falls - NY"
2008,15380,"Buffalo, Niagara Falls - NY"
2009,15380,"Buffalo, Niagara Falls - NY"
2010,15380,"Buffalo, Niagara Falls - NY"
2011,15380,"Buffalo, Niagara Falls - NY"
2012,15380,"Buffalo, Niagara Falls - NY"
2007,15500,Burlington - NC
2008,15500,Burlington - NC
2009,15500,Burlington - NC
2010,15500,Burlington - NC
2011,15500,Burlington - NC
2012,15500,Burlington - NC
2007,15540,"Burlington, South Burlington - VT"
2008,15540,"Burlington, South Burlington - VT"
2009,15540,"Burlington, South Burlington - VT"
2010,15540,"Burlington, South Burlington - VT"
2011,15540,"Burlington, South Burlington - VT"
2012,15540,"Burlington, South Burlington - VT"
2007,15764,"Cambridge, Newton, Framingham - MA"
2008,15764,"Cambridge, Newton, Framingham - MA"
2009,15764,"Cambridge, Newton, Framingham - MA"
2010,15764,"Cambridge, Newton, Framingham - MA"
2011,15764,"Cambridge, Newton, Framingham - MA"
2012,15764,"Cambridge, Newton, Framingham - MA"
2007,15804,Camden - NJ
2008,15804,Camden - NJ
2009,15804,Camden - NJ
2010,15804,Camden - NJ
2011,15804,Camden - NJ
2012,15804,Camden - NJ
2007,15940,"Canton, Massillon - OH"
2008,15940,"Canton, Massillon - OH"
2009,15940,"Canton, Massillon - OH"
2010,15940,"Canton, Massillon - OH"
2011,15940,"Canton, Massillon - OH"
2012,15940,"Canton, Massillon - OH"
2007,15980,"Cape Coral, Fort Myers - FL"
2008,15980,"Cape Coral, Fort Myers - FL"
2009,15980,"Cape Coral, Fort Myers - FL"
2010,15980,"Cape Coral, Fort Myers - FL"
2011,15980,"Cape Coral, Fort Myers - FL"
2012,15980,"Cape Coral, Fort Myers - FL"
2009,16020,"Cape Girardeau, Jackson - MO, IL"
2010,16020,"Cape Girardeau, Jackson - MO, IL"
2011,16020,"Cape Girardeau, Jackson - MO, IL"
2012,16020,"Cape Girardeau, Jackson - MO, IL"
2007,16180,Carson City - NV
2008,16180,Carson City - NV
2009,16180,Carson City - NV
2010,16180,Carson City - NV
2011,16180,Carson City - NV
2012,16180,Carson City - NV
2007,16220,Casper - WY
2008,16220,Casper - WY
2009,16220,Casper - WY
2010,16220,Casper - WY
2011,16220,Casper - WY
2012,16220,Casper - WY
2007,16300,Cedar Rapids - IA
2008,16300,Cedar Rapids - IA
2009,16300,Cedar Rapids - IA
2010,16300,Cedar Rapids - IA
2011,16300,Cedar Rapids - IA
2012,16300,Cedar Rapids - IA
2007,16580,"Champaign, Urbana - IL"
2008,16580,"Champaign, Urbana - IL"
2009,16580,"Champaign, Urbana - IL"
2010,16580,"Champaign, Urbana - IL"
2011,16580,"Champaign, Urbana - IL"
2012,16580,"Champaign, Urbana - IL"
2007,16620,Charleston - WV
2008,16620,Charleston - WV
2009,16620,Charleston - WV
2010,16620,Charleston - WV
2011,16620,Charleston - WV
2012,16620,Charleston - WV
2007,16700,"Charleston, North Charleston - SC"
2008,16700,"Charleston, North Charleston, Summerville - SC"
2009,16700,"Charleston, North Charleston, Summerville - SC"
2010,16700,"Charleston, North Charleston, Summerville - SC"
2011,16700,"Charleston, North Charleston, Summerville - SC"
2012,16700,"Charleston, North Charleston, Summerville - SC"
2007,16740,"Charlotte, Gastonia, Concord - NC, SC"
2008,16740,"Charlotte, Gastonia, Concord - NC, SC"
2009,16740,"Charlotte, Gastonia, Concord - NC, SC"
2010,16740,"Charlotte, Gastonia, Rock Hill - NC, SC"
2011,16740,"Charlotte, Gastonia, Rock Hill - NC, SC"
2012,16740,"Charlotte, Gastonia, Rock Hill - NC, SC"
2007,16820,Charlottesville - VA
2008,16820,Charlottesville - VA
2009,16820,Charlottesville - VA
2010,16820,Charlottesville - VA
2011,16820,Charlottesville - VA
2012,16820,Charlottesville - VA
2007,16860,"Chattanooga - TN, GA"
2008,16860,"Chattanooga - TN, GA"
2009,16860,"Chattanooga - TN, GA"
2010,16860,"Chattanooga - TN, GA"
2011,16860,"Chattanooga - TN, GA"
2012,16860,"Chattanooga - TN, GA"
2007,16940,Cheyenne - WY
2008,16940,Cheyenne - WY
2009,16940,Cheyenne - WY
2010,16940,Cheyenne - WY
2011,16940,Cheyenne - WY
2012,16940,Cheyenne - WY
2010,16974,"Chicago, Joliet, Naperville - IL"
2011,16974,"Chicago, Joliet, Naperville - IL"
2012,16974,"Chicago, Joliet, Naperville - IL"
2007,16974,"Chicago, Naperville, Joliet - IL"
2008,16974,"Chicago, Naperville, Joliet - IL"
2009,16974,"Chicago, Naperville, Joliet - IL"
2007,17020,Chico - CA
2008,17020,Chico - CA
2009,17020,Chico - CA
2010,17020,Chico - CA
2011,17020,Chico - CA
2012,17020,Chico - CA
2007,17140,"Cincinnati, Middletown - OH, KY, IN"
2008,17140,"Cincinnati, Middletown - OH, KY, IN"
2009,17140,"Cincinnati, Middletown - OH, KY, IN"
2010,17140,"Cincinnati, Middletown - OH, KY, IN"
2011,17140,"Cincinnati, Middletown - OH, KY, IN"
2012,17140,"Cincinnati, Middletown - OH, KY, IN"
2007,17300,"Clarksville - TN, KY"
2008,17300,"Clarksville - TN, KY"
2009,17300,"Clarksville - TN, KY"
2010,17300,"Clarksville - TN, KY"
2011,17300,"Clarksville - TN, KY"
2012,17300,"Clarksville - TN, KY"
2007,17420,Cleveland - TN
2008,17420,Cleveland - TN
2009,17420,Cleveland - TN
2010,17420,Cleveland - TN
2011,17420,Cleveland - TN
2012,17420,Cleveland - TN
2007,17460,"Cleveland, Elyria, Mentor - OH"
2008,17460,"Cleveland, Elyria, Mentor - OH"
2009,17460,"Cleveland, Elyria, Mentor - OH"
2010,17460,"Cleveland, Elyria, Mentor - OH"
2011,17460,"Cleveland, Elyria, Mentor - OH"
2012,17460,"Cleveland, Elyria, Mentor - OH"
2007,17660,Coeur D'Alene - ID
2008,17660,Coeur D'Alene - ID
2009,17660,Coeur D'Alene - ID
2010,17660,Coeur D'Alene - ID
2011,17660,Coeur D'Alene - ID
2012,17660,Coeur D'Alene - ID
2007,17780,"College Station, Bryan - TX"
2008,17780,"College Station, Bryan - TX"
2009,17780,"College Station, Bryan - TX"
2010,17780,"College Station, Bryan - TX"
2011,17780,"College Station, Bryan - TX"
2012,17780,"College Station, Bryan - TX"
2007,17820,Colorado Springs - CO
2008,17820,Colorado Springs - CO
2009,17820,Colorado Springs - CO
2010,17820,Colorado Springs - CO
2011,17820,Colorado Springs - CO
2012,17820,Colorado Springs - CO
2007,17860,Columbia - MO
2008,17860,Columbia - MO
2009,17860,Columbia - MO
2010,17860,Columbia - MO
2011,17860,Columbia - MO
2012,17860,Columbia - MO
2007,17900,Columbia - SC
2008,17900,Columbia - SC
2009,17900,Columbia - SC
2010,17900,Columbia - SC
2011,17900,Columbia - SC
2012,17900,Columbia - SC
2007,17980,"Columbus - GA, AL"
2008,17980,"Columbus - GA, AL"
2009,17980,"Columbus - GA, AL"
2010,17980,"Columbus - GA, AL"
2011,17980,"Columbus - GA, AL"
2012,17980,"Columbus - GA, AL"
2007,18020,Columbus - IN
2008,18020,Columbus - IN
2009,18020,Columbus - IN
2010,18020,Columbus - IN
2011,18020,Columbus - IN
2012,18020,Columbus - IN
2007,18140,Columbus - OH
2008,18140,Columbus - OH
2009,18140,Columbus - OH
2010,18140,Columbus - OH
2011,18140,Columbus - OH
2012,18140,Columbus - OH
2007,18580,Corpus Christi - TX
2008,18580,Corpus Christi - TX
2009,18580,Corpus Christi - TX
2010,18580,Corpus Christi - TX
2011,18580,Corpus Christi - TX
2012,18580,Corpus Christi - TX
2007,18700,Corvallis - OR
2008,18700,Corvallis - OR
2009,18700,Corvallis - OR
2010,18700,Corvallis - OR
2011,18700,Corvallis - OR
2012,18700,Corvallis - OR
2010,18880,"Crestview, Fort Walton Beach, Destin - FL"
2011,18880,"Crestview, Fort Walton Beach, Destin - FL"
2012,18880,"Crestview, Fort Walton Beach, Destin - FL"
2007,19060,"Cumberland - MD, WV"
2008,19060,"Cumberland - MD, WV"
2009,19060,"Cumberland - MD, WV"
2010,19060,"Cumberland - MD, WV"
2011,19060,"Cumberland - MD, WV"
2012,19060,"Cumberland - MD, WV"
2007,19124,"Dallas, Plano, Irving - TX"
2008,19124,"Dallas, Plano, Irving - TX"
2009,19124,"Dallas, Plano, Irving - TX"
2010,19124,"Dallas, Plano, Irving - TX"
2011,19124,"Dallas, Plano, Irving - TX"
2012,19124,"Dallas, Plano, Irving - TX"
2007,19140,Dalton - GA
2008,19140,Dalton - GA
2009,19140,Dalton - GA
2010,19140,Dalton - GA
2011,19140,Dalton - GA
2012,19140,Dalton - GA
2007,19180,Danville - IL
2008,19180,Danville - IL
2009,19180,Danville - IL
2010,19180,Danville - IL
2011,19180,Danville - IL
2012,19180,Danville - IL
2007,19260,Danville - VA
2008,19260,Danville - VA
2009,19260,Danville - VA
2010,19260,Danville - VA
2011,19260,Danville - VA
2012,19260,Danville - VA
2007,19340,"Davenport, Moline, Rock Island - IA, IL"
2008,19340,"Davenport, Moline, Rock Island - IA, IL"
2009,19340,"Davenport, Moline, Rock Island - IA, IL"
2010,19340,"Davenport, Moline, Rock Island - IA, IL"
2011,19340,"Davenport, Moline, Rock Island - IA, IL"
2012,19340,"Davenport, Moline, Rock Island - IA, IL"
2007,19380,Dayton - OH
2008,19380,Dayton - OH
2009,19380,Dayton - OH
2010,19380,Dayton - OH
2011,19380,Dayton - OH
2012,19380,Dayton - OH
2007,19460,Decatur - AL
2008,19460,Decatur - AL
2009,19460,Decatur - AL
2010,19460,Decatur - AL
2011,19460,Decatur - AL
2012,19460,Decatur - AL
2007,19500,Decatur - IL
2008,19500,Decatur - IL
2009,19500,Decatur - IL
2010,19500,Decatur - IL
2011,19500,Decatur - IL
2012,19500,Decatur - IL
2007,19660,"Deltona, Daytona Beach, Ormond Beach - FL"
2008,19660,"Deltona, Daytona Beach, Ormond Beach - FL"
2009,19660,"Deltona, Daytona Beach, Ormond Beach - FL"
2010,19660,"Deltona, Daytona Beach, Ormond Beach - FL"
2011,19660,"Deltona, Daytona Beach, Ormond Beach - FL"
2012,19660,"Deltona, Daytona Beach, Ormond Beach - FL"
2007,19740,"Denver, Aurora - CO"
2008,19740,"Denver, Aurora - CO"
2009,19740,"Denver, Aurora, Broomfield - CO"
2010,19740,"Denver, Aurora, Broomfield - CO"
2011,19740,"Denver, Aurora, Broomfield - CO"
2012,19740,"Denver, Aurora, Broomfield - CO"
2007,19780,"Des Moines, West Des Moines - IA"
2008,19780,"Des Moines, West Des Moines - IA"
2009,19780,"Des Moines, West Des Moines - IA"
2010,19780,"Des Moines, West Des Moines - IA"
2011,19780,"Des Moines, West Des Moines - IA"
2012,19780,"Des Moines, West Des Moines - IA"
2007,19804,"Detroit, Livonia, Dearborn - MI"
2008,19804,"Detroit, Livonia, Dearborn - MI"
2009,19804,"Detroit, Livonia, Dearborn - MI"
2010,19804,"Detroit, Livonia, Dearborn - MI"
2011,19804,"Detroit, Livonia, Dearborn - MI"
2012,19804,"Detroit, Livonia, Dearborn - MI"
2007,20020,Dothan - AL
2008,20020,Dothan - AL
2009,20020,Dothan - AL
2010,20020,Dothan - AL
2011,20020,Dothan - AL
2012,20020,Dothan - AL
2007,20100,Dover - DE
2008,20100,Dover - DE
2009,20100,Dover - DE
2010,20100,Dover - DE
2011,20100,Dover - DE
2012,20100,Dover - DE
2007,20220,Dubuque - IA
2008,20220,Dubuque - IA
2009,20220,Dubuque - IA
2010,20220,Dubuque - IA
2011,20220,Dubuque - IA
2012,20220,Dubuque - IA
2007,20260,"Duluth - MN, WI"
2008,20260,"Duluth - MN, WI"
2009,20260,"Duluth - MN, WI"
2010,20260,"Duluth - MN, WI"
2011,20260,"Duluth - MN, WI"
2012,20260,"Duluth - MN, WI"
2007,20500,Durham - NC
2008,20500,Durham - NC
2009,20500,"Durham, Chapel Hill - NC"
2010,20500,"Durham, Chapel Hill - NC"
2011,20500,"Durham, Chapel Hill - NC"
2012,20500,"Durham, Chapel Hill - NC"
2007,20740,Eau Claire - WI
2008,20740,Eau Claire - WI
2009,20740,Eau Claire - WI
2010,20740,Eau Claire - WI
2011,20740,Eau Claire - WI
2012,20740,Eau Claire - WI
2007,20764,Edison - NJ
2008,20764,"Edison, New Brunswick - NJ"
2009,20764,"Edison, New Brunswick - NJ"
2010,20764,"Edison, New Brunswick - NJ"
2011,20764,"Edison, New Brunswick - NJ"
2012,20764,"Edison, New Brunswick - NJ"
2007,20940,El Centro - CA
2008,20940,El Centro - CA
2009,20940,El Centro - CA
2010,20940,El Centro - CA
2011,20940,El Centro - CA
2012,20940,El Centro - CA
2007,21340,El Paso - TX
