AREA,PERIMETER,TR01_D00_,TR01_D00_I,STATE,COUNTY,TRACT,NAME,LSAD,LSAD_TRANS
0.03518,0.88806,2,1,01,077,0113,0113,TR,
0.02146,0.75790,3,2,01,077,0114,0114,TR,
0.01388,0.72911,4,3,01,077,011502,0115.02,TR,
0.01225,0.59781,5,4,01,077,011602,0116.02,TR,
0.01427,0.71159,6,5,01,077,0117,0117,TR,
0.03125,0.85265,7,6,01,077,0118,0118,TR,
0.02464,0.79487,8,7,01,083,0203,0203,TR,
0.02211,0.73745,9,8,01,083,0202,0202,TR,
0.01783,0.60304,10,9,01,083,0201,0201,TR,
0.00749,0.45076,11,10,01,089,010401,0104.01,TR,
0.00872,0.42246,12,11,01,089,010301,0103.01,TR,
0.02810,1.08471,13,12,01,089,0101,0101,TR,
0.05468,1.21520,14,13,01,071,9504,9504,TR,
0.00704,0.51894,15,14,01,089,010302,0103.02,TR,
0.05657,1.08751,16,15,01,071,9503,9503,TR,
0.00945,0.45989,17,16,01,071,9502,9502,TR,
0.03568,0.94673,18,17,01,071,9501,9501,TR,
0.00908,0.49515,19,18,01,089,010402,0104.02,TR,
0.01599,0.68946,20,19,01,077,011601,0116.01,TR,
0.02727,0.78144,21,20,01,077,0112,0112,TR,
0.06588,1.15834,22,21,01,033,0210,0210,TR,
0.01776,0.88311,23,22,01,083,020401,0204.01,TR,
0.00873,0.43251,24,23,01,089,010701,0107.01,TR,
0.02767,0.91716,25,24,01,071,9506,9506,TR,
0.00269,0.23323,26,25,01,077,0111,0111,TR,
0.00431,0.38772,27,26,01,077,011501,0115.01,TR,
0.00527,0.31095,28,27,01,089,010501,0105.01,TR,
0.00393,0.27940,29,28,01,089,010502,0105.02,TR,
0.00635,0.40523,30,29,01,083,020801,0208.01,TR,
0.02004,0.73918,31,30,01,049,9601,9601,TR,
0.00690,0.38847,32,31,01,083,020402,0204.02,TR,
0.00351,0.27656,33,32,01,089,010702,0107.02,TR,
0.00048,0.10605,34,33,01,077,0110,0110,TR,
0.00097,0.14260,35,34,01,077,0109,0109,TR,
0.01069,0.66150,36,35,01,089,0102,0102,TR,
0.00101,0.14497,37,36,01,083,0206,0206,TR,
0.00091,0.12639,38,37,01,083,0207,0207,TR,
0.00117,0.15279,39,38,01,077,0108,0108,TR,
0.01376,0.55071,40,39,01,033,020801,0208.01,TR,
0.00204,0.19402,41,40,01,089,000402,0004.02,TR,
0.00056,0.13113,42,41,01,077,0104,0104,TR,
0.01188,0.72124,43,42,01,033,020701,0207.01,TR,
0.00618,0.53829,44,43,01,089,0108,0108,TR,
