SUMLEV,REGION,DIVISION,STATE,SEX,ORIGIN,RACE,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
040,2,3,17,0,0,1,0,118693,118693,118458,121472
040,2,3,17,0,0,1,1,119894,119894,119123,118147
040,2,3,17,0,0,1,2,123741,123741,123328,118974
040,2,3,17,0,0,1,3,125239,125239,124749,123012
040,2,3,17,0,0,1,4,125220,125220,125423,124501
040,2,3,17,0,0,1,5,126119,126119,126169,125256
040,2,3,17,0,0,1,6,128289,128289,128246,125851
040,2,3,17,0,0,1,7,126530,126530,126805,127902
040,2,3,17,0,0,1,8,127728,127728,126890,126587
040,2,3,17,0,0,1,9,129806,129806,129039,126646
040,2,3,17,0,0,1,10,130714,130714,130902,128922
040,2,3,17,0,0,1,11,129314,129314,129146,130646
040,2,3,17,0,0,1,12,129678,129678,129774,128949
040,2,3,17,0,0,1,13,130567,130567,130349,129669
040,2,3,17,0,0,1,14,133228,133228,132449,130127
040,2,3,17,0,0,1,15,135469,135469,135125,132347
040,2,3,17,0,0,1,16,135486,135486,135332,135025
040,2,3,17,0,0,1,17,137152,137152,136368,135417
040,2,3,17,0,0,1,18,136930,136930,136210,133517
040,2,3,17,0,0,1,19,133754,133754,133093,135248
040,2,3,17,0,0,1,20,132723,132723,134065,135248
040,2,3,17,0,0,1,21,129106,129106,129855,133369
040,2,3,17,0,0,1,22,131126,131126,131436,128861
040,2,3,17,0,0,1,23,133065,133065,133346,131038
040,2,3,17,0,0,1,24,138823,138823,138442,133291
040,2,3,17,0,0,1,25,140440,140440,141202,138463
040,2,3,17,0,0,1,26,138285,138285,138412,140591
040,2,3,17,0,0,1,27,141516,141516,141014,137923
040,2,3,17,0,0,1,28,140797,140797,141639,140540
040,2,3,17,0,0,1,29,140919,140919,140492,140903
040,2,3,17,0,0,1,30,143027,143027,143509,139641
040,2,3,17,0,0,1,31,132300,132300,134516,142655
040,2,3,17,0,0,1,32,133497,133497,132612,133822
040,2,3,17,0,0,1,33,129427,129427,131098,131972
040,2,3,17,0,0,1,34,127405,127405,126788,130546
