SUMLEV,REGION,DIVISION,STATE,SEX,ORIGIN,RACE,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
040,4,8,30,0,0,1,0,9976,9976,9914,9613
040,4,8,30,0,0,1,1,10220,10220,10152,9835
040,4,8,30,0,0,1,2,10224,10224,10192,10130
040,4,8,30,0,0,1,3,10692,10692,10644,10282
040,4,8,30,0,0,1,4,10212,10212,10209,10600
040,4,8,30,0,0,1,5,10083,10083,10071,10241
040,4,8,30,0,0,1,6,10093,10093,10070,10077
040,4,8,30,0,0,1,7,10087,10087,10111,10074
040,4,8,30,0,0,1,8,10097,10097,10016,10177
040,4,8,30,0,0,1,9,10366,10366,10296,10067
040,4,8,30,0,0,1,10,10140,10140,10139,10382
040,4,8,30,0,0,1,11,10428,10428,10404,10195
040,4,8,30,0,0,1,12,10405,10405,10412,10439
040,4,8,30,0,0,1,13,10493,10493,10469,10431
040,4,8,30,0,0,1,14,10698,10698,10635,10453
040,4,8,30,0,0,1,15,10818,10818,10782,10662
040,4,8,30,0,0,1,16,11206,11206,11187,10926
040,4,8,30,0,0,1,17,11608,11608,11536,11304
040,4,8,30,0,0,1,18,11694,11694,11639,11391
040,4,8,30,0,0,1,19,11913,11913,11888,12771
040,4,8,30,0,0,1,20,11878,11878,12024,11910
040,4,8,30,0,0,1,21,11685,11685,11822,12272
040,4,8,30,0,0,1,22,11794,11794,11918,12251
040,4,8,30,0,0,1,23,11515,11515,11621,11817
040,4,8,30,0,0,1,24,11474,11474,11516,11347
040,4,8,30,0,0,1,25,11600,11600,11677,10442
040,4,8,30,0,0,1,26,11371,11371,11371,11614
040,4,8,30,0,0,1,27,11424,11424,11392,11394
040,4,8,30,0,0,1,28,11329,11329,11389,11473
040,4,8,30,0,0,1,29,11108,11108,11097,11463
040,4,8,30,0,0,1,30,11354,11354,11386,11197
040,4,8,30,0,0,1,31,10495,10495,10680,11494
040,4,8,30,0,0,1,32,10780,10780,10717,10710
040,4,8,30,0,0,1,33,10106,10106,10258,10771
