SUMLEV,REGION,DIVISION,STATE,SEX,ORIGIN,RACE,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
040,1,1,44,0,0,1,0,8362,8362,8333,8520
040,1,1,44,0,0,1,1,8646,8646,8588,8296
040,1,1,44,0,0,1,2,8964,8964,8933,8577
040,1,1,44,0,0,1,3,8977,8977,8939,8911
040,1,1,44,0,0,1,4,9426,9426,9433,8859
040,1,1,44,0,0,1,5,9378,9378,9373,9392
040,1,1,44,0,0,1,6,9656,9656,9643,9359
040,1,1,44,0,0,1,7,9611,9611,9630,9655
040,1,1,44,0,0,1,8,9778,9778,9706,9608
040,1,1,44,0,0,1,9,9727,9727,9664,9700
040,1,1,44,0,0,1,10,10043,10043,10048,9653
040,1,1,44,0,0,1,11,10206,10206,10187,10009
040,1,1,44,0,0,1,12,10282,10282,10287,10176
040,1,1,44,0,0,1,13,10599,10599,10576,10294
040,1,1,44,0,0,1,14,10832,10832,10766,10558
040,1,1,44,0,0,1,15,11175,11175,11141,10717
040,1,1,44,0,0,1,16,11492,11492,11473,11112
040,1,1,44,0,0,1,17,11833,11833,11760,11537
040,1,1,44,0,0,1,18,14190,14190,14077,14721
040,1,1,44,0,0,1,19,16604,16604,16419,15674
040,1,1,44,0,0,1,20,15949,15949,16042,15601
040,1,1,44,0,0,1,21,15296,15296,15344,15081
040,1,1,44,0,0,1,22,13565,13565,13565,13656
040,1,1,44,0,0,1,23,11613,11613,11627,12772
040,1,1,44,0,0,1,24,11033,11033,10976,11675
040,1,1,44,0,0,1,25,10912,10912,10978,10909
040,1,1,44,0,0,1,26,10676,10676,10714,11026
040,1,1,44,0,0,1,27,10809,10809,10759,10734
040,1,1,44,0,0,1,28,10796,10796,10822,10690
040,1,1,44,0,0,1,29,10808,10808,10760,10843
040,1,1,44,0,0,1,30,10918,10918,10937,10775
040,1,1,44,0,0,1,31,10173,10173,10328,10928
040,1,1,44,0,0,1,32,10178,10178,10096,10343
040,1,1,44,0,0,1,33,9775,9775,9892,10096
040,1,1,44,0,0,1,34,9744,9744,9699,9820
040,1,1,44,0,0,1,35,10208,10208,10166,9615
040,1,1,44,0,0,1,36,10043,10043,10098,10147
040,1,1,44,0,0,1,37,10524,10524,10383,10036
040,1,1,44,0,0,1,38,11336,11336,11149,10274
040,1,1,44,0,0,1,39,12338,12338,12174,11044
040,1,1,44,0,0,1,40,12820,12820,12814,12084
040,1,1,44,0,0,1,41,12120,12120,12246,12763
040,1,1,44,0,0,1,42,12703,12703,12661,12176
040,1,1,44,0,0,1,43,12852,12852,12794,12615
040,1,1,44,0,0,1,44,13481,13481,13330,12722
040,1,1,44,0,0,1,45,14456,14456,14174,13308
040,1,1,44,0,0,1,46,14214,14214,14190,14039
040,1,1,44,0,0,1,47,14182,14182,14137,14069
040,1,1,44,0,0,1,48,14794,14794,14711,13993
040,1,1,44,0,0,1,49,14919,14919,14911,14611
040,1,1,44,0,0,1,50,14836,14836,14725,14795
040,1,1,44,0,0,1,51,14551,14551,14615,14636
040,1,1,44,0,0,1,52,14840,14840,14748,14510
040,1,1,44,0,0,1,53,14494,14494,14681,14614
040,1,1,44,0,0,1,54,14368,14368,14331,14509
040,1,1,44,0,0,1,55,14142,14142,14116,14188
040,1,1,44,0,0,1,56,13372,13372,13514,13962
040,1,1,44,0,0,1,57,12967,12967,12972,13326
040,1,1,44,0,0,1,58,12477,12477,12464,12813
040,1,1,44,0,0,1,59,11740,11740,11940,12334
040,1,1,44,0,0,1,60,11891,11891,11834,11758
040,1,1,44,0,0,1,61,11466,11466,11528,11637
040,1,1,44,0,0,1,62,11709,11709,11399,11383
040,1,1,44,0,0,1,63,11907,11907,12502,11124
040,1,1,44,0,0,1,64,8773,8773,8942,12306
040,1,1,44,0,0,1,65,8743,8743,8703,8759
040,1,1,44,0,0,1,66,8524,8524,8413,8542
040,1,1,44,0,0,1,67,8832,8832,8979,8269
040,1,1,44,0,0,1,68,7321,7321,7420,8809
040,1,1,44,0,0,1,69,6662,6662,6734,7293
