state_code,msamd,census_tract_number
48,41700,1704.02
55,36780,0009.00
72,41980,9555.00
37,49180,0807.00
36,,9622.00
45,22500,0116.00
53,42644,0322.09
47,34980,0505.02
36,10580,0142.03
48,12420,0016.02
40,36420,1046.00
34,20764,0519.00
53,44060,0028.00
34,12100,0112.01
36,28740,9545.00
32,29820,0054.11
48,18580,0113.00
45,43900,0220.03
41,38900,0315.08
42,37964,0297.00
55,39540,0021.00
72,41980,5407.00
41,38900,0001.00
53,42644,0322.07
55,,2031.01
36,35004,4076.00
29,41180,2183.00
42,38300,4190.00
53,44060,0139.00
37,16740,0060.03
39,17460,1147.00
39,49660,9321.00
39,17460,1731.03
42,42540,2112.01
37,,9613.00
34,20764,0006.07
30,33540,0013.02
37,40580,0109.00
36,45060,0131.00
39,19380,0301.00
34,35084,0062.00
53,42644,0524.02
48,19124,0178.12
48,21340,0024.00
29,44180,0203.02
41,21660,0025.01
32,29820,0053.33
36,,0410.00
39,17460,1301.03
45,11340,0104.02
48,46340,0009.00
34,20764,0078.05
41,38900,0229.02
36,35644,0424.00
29,41180,2124.00
39,,9860.00
41,38900,0227.02
34,48864,0210.00
42,,9705.00
40,36420,2016.06
36,35644,0803.01
55,33340,0194.00
34,35644,0146.00
48,19124,0143.04
30,,0002.00
30,,1003.00
36,35644,0680.00
39,10420,6001.02
27,33460,0607.33
39,18140,0079.21
27,33460,1106.00
54,34060,9644.00
41,38900,0082.01
32,29820,0058.06
55,11540,0103.00
41,38900,0099.02
47,27740,0610.00
47,,0902.00
48,18580,0020.00
72,41980,0098.00
53,,0020.01
36,15380,0066.01
72,32420,0806.00
36,45060,0043.00
41,21660,0002.00
44,39300,0121.02
37,49180,0032.01
42,37964,0319.00
39,17460,1381.06
48,26420,6733.00
72,,9569.00
36,45060,0164.00
32,29820,0058.16
42,37964,4037.02
30,,9763.00
51,40060,2010.03
29,44180,0004.00
42,,3302.00
45,43900,0231.01
48,19124,0211.00
49,30860,0006.00
28,27140,0202.01
36,10580,0406.00
37,24660,0106.01
32,29820,0057.10
39,17140,0249.02
47,28940,0058.05
36,15380,0075.00
53,42644,0314.00
42,29540,0146.01
39,18140,0097.52
39,30620,0112.00
54,26580,0205.00
48,41660,0017.02
29,41180,1025.00
51,47260,0101.04
55,29100,0101.02
41,38900,0223.00
42,37964,1052.04
39,18140,0009.10
51,40060,8505.00
47,27180,0014.01
53,42644,0085.00
49,41620,1126.05
29,41180,3112.03
42,38300,4141.02
38,,9513.00
36,35004,3017.00
41,38900,0335.00
39,19380,2403.02
34,20764,0073.04
37,39580,0525.04
53,42644,0521.11
42,37964,2065.00
51,47894,1033.00
34,35084,0208.00
40,,9769.00
42,42540,2007.00
39,17460,1351.06
34,12100,0122.00
36,10580,0606.00
53,45104,0633.00
48,19124,0182.06
36,40380,0513.00
34,20764,0507.00
41,32780,0012.00
34,20764,0082.02
48,26420,7249.00
48,11100,0216.05
47,16860,0104.02
28,27140,0204.02
39,,9587.00
34,20764,8011.00
39,18140,0063.92
34,35644,0021.00
48,23104,1002.02
39,37620,0210.00
48,12420,0109.03
29,41140,
48,41700,1211.18
36,10580,0208.00
48,33260,0101.09
29,41180,2178.06
36,35004,1237.02
36,35644,0510.00
39,17140,0051.00
53,42644,0039.00
72,38660,0716.02
42,37964,2006.03
27,33460,1075.00
39,,9721.00
27,33460,0610.01
39,17140,0207.05
72,41980,0052.04
34,20764,0531.05
35,10740,0037.23
55,24580,0205.02
27,33460,0120.01
48,47380,0037.01
42,37964,2012.01
36,,0724.00
50,,9549.00
33,,9653.00
32,29820,0033.01
36,35004,3014.00
34,20764,0534.02
51,47894,4154.00
37,16740,0058.08
42,38300,1302.00
48,19124,0190.04
49,30860,0001.01
36,35004,1102.00
