County Code,State Abbreviation,County Name,Total Number of Tax Returns,Total Number of Exemptions,Adjusted Gross Income (In Thousands),Wages and Salaries Incomes (In Thousands),Dividend Incomes (In Thousands),Interest Income (In Thousands)
1,AL,Autauga County,22651,50304,$1052483,$824809,$10173,$19682
3,AL,Baldwin County,75255,155562,$3913872,$2551398,$99791,$154580
5,AL,Barbour County,11644,23463,$382539,$270389,$7678,$14525
7,AL,Bibb County,9379,19852,$325458,$263779,$2448,$5925
9,AL,Blount County,23178,51760,$941507,$729702,$9033,$23223
11,AL,Bullock County,4147,8286,$108430,$82966,$1842,$2809
13,AL,Butler County,9799,19803,$298185,$218798,$4730,$8393
15,AL,Calhoun County,53376,109111,$2040965,$1518074,$33616,$54502
17,AL,Chambers County,17445,34637,$502718,$408289,$5846,$12441
19,AL,Cherokee County,10913,22466,$367372,$270419,$3854,$11905
21,AL,Chilton County,18169,39821,$690072,$540008,$6029,$15945
23,AL,Choctaw County,6708,13689,$221650,$170143,$1555,$7604
25,AL,Clarke County,11872,26095,$437935,$329632,$7634,$12758
27,AL,Clay County,7293,14893,$220774,$172396,$1888,$5995
29,AL,Cleburne County,6304,13517,$218022,$168404,$1416,$5315
31,AL,Coffee County,20952,43779,$875550,$642760,$15877,$26499
33,AL,Colbert County,25621,52117,$995053,$712865,$11902,$28516
35,AL,Conecuh County,6770,13515,$178109,$134707,$1519,$5029
37,AL,Coosa County,5344,10595,$154811,$123742,$1574,$3883
39,AL,Covington County,16899,34043,$556309,$415673,$7596,$19374
41,AL,Crenshaw County,6536,13337,$203026,$154693,$2329,$6247
43,AL,Cullman County,35589,75200,$1357193,$1013032,$14786,$50946
45,AL,Dale County,21562,45448,$790574,$609645,$6401,$17820
47,AL,Dallas County,19847,41308,$578908,$438999,$12204,$14089
49,AL,DeKalb County,29658,64041,$982260,$754897,$27168,$26783
51,AL,Elmore County,33080,72024,$1549886,$1182184,$13401,$30273
53,AL,Escambia County,16478,34022,$535740,$401355,$7480,$19234
55,AL,Etowah County,47144,95837,$1720742,$1252281,$23244,$50826
57,AL,Fayette County,7912,16233,$253852,$200119,$1984,$9589
59,AL,Franklin County,13879,30604,$439138,$338242,$5010,$15434
61,AL,Geneva County,11939,23972,$373375,$277006,$8147,$12178
63,AL,Greene County,4290,8886,$108259,$82707,$8008,$3263
65,AL,Hale County,7917,16774,$232509,$188585,$4247,$6331
67,AL,Henry County,7748,15865,$303978,$213103,$2658,$9769
69,AL,Houston County,44111,91229,$2132996,$1481541,$53968,$73589
71,AL,Jackson County,24237,49788,$848624,$643865,$10423,$23833
73,AL,Jefferson County,300543,609121,$15982101,$11253279,$448372,$469601
75,AL,Lamar County,6851,14091,$214894,$158104,$2023,$7820
77,AL,Lauderdale County,39867,81422,$1739122,$1180611,$40423,$62981
79,AL,Lawrence County,15279,32242,$558507,$448370,$3782,$10819
81,AL,Lee County,50766,107033,$2390911,$1769838,$41262,$62097
83,AL,Limestone County,32295,69985,$1581958,$1198239,$16727,$35080
85,AL,Lowndes County,6054,12929,$170509,$136108,$1482,$3526
87,AL,Macon County,9936,19504,$269778,$210984,$1944,$4590
89,AL,Madison County,141339,295176,$8592715,$6230647,$138029,$229011
91,AL,Marengo County,9772,20879,$331594,$253548,$5681,$11229
93,AL,Marion County,13267,27319,$399194,$306373,$4947,$17060
95,AL,Marshall County,39646,85073,$1528967,$1080707,$20137,$48707
97,AL,Mobile County,180492,374923,$7391162,$5533873,$107505,$192784
99,AL,Monroe County,9718,21299,$342261,$267658,$3743,$9542
101,AL,Montgomery County,103654,213259,$4660528,$3335144,$115282,$138995
103,AL,Morgan County,52388,111356,$2432923,$1752368,$41252,$60025
105,AL,Perry County,4824,10309,$110787,$89086,$1090,$3414
107,AL,Pickens County,9199,18747,$288174,$213750,$7928,$8608
109,AL,Pike County,12781,25127,$423016,$325276,$7455,$15113
111,AL,Randolph County,10124,21046,$331017,$241418,$4569,$10893
113,AL,Russell County,22995,47268,$684895,$557924,$6789,$12541
115,AL,St. Clair County,33582,71772,$1486079,$1186004,$13461,$30281
117,AL,Shelby County,76399,172126,$5880119,$4290922,$104871,$155051
119,AL,Sumter County,6082,12238,$149025,$121189,$1898,$3888
121,AL,Talladega County,36098,74103,$1261657,$983535,$11356,$26917
123,AL,Tallapoosa County,18982,39208,$695939,$496348,$11490,$22336
125,AL,Tuscaloosa County,75571,155131,$3498106,$2575418,$58928,$109067
127,AL,Walker County,30663,63373,$1086038,$824805,$14486,$31400
129,AL,Washington County,7587,16612,$299710,$216970,$23809,$8501
131,AL,Wilcox County,5678,12457,$134479,$108260,$2458,$4218
133,AL,Winston County,11134,22950,$353737,$260512,$4231,$13564
13,AK,Aleutians East Borough,791,1481,$33447,$23291,$300,$311
16,AK,Aleutians West Census Area,1916,3575,$87859,$76584,$572,$636
20,AK,Anchorage Municipality,126737,253276,$8088105,$6005094,$150510,$172464
50,AK,Bethel Census Area,5978,14715,$213816,$179216,$1185,$1250
60,AK,Bristol Bay Borough,490,986,$31368,$21164,$449,$599
