AREA,PERIMETER,CO99_D00_,CO99_D00_I,STATE,COUNTY,NAME,LSAD,LSAD_TRANS
            52.91341,            60.56496,          2,          1,02,185,North Slope,04,Borough
            74.22506,            63.13100,          3,          2,02,290,Yukon-Koyukuk,05,Census Area
            19.67918,            40.91407,          4,          3,02,188,Northwest Arctic,04,Borough
            10.69172,            31.55687,          5,          4,02,180,Nome,05,Census Area
             0.00375,             0.34984,          6,          5,02,180,Nome,05,Census Area
            11.84807,            21.35897,          7,          6,02,240,Southeast Fairbanks,05,Census Area
             0.00150,             0.15353,          8,          7,02,180,Nome,05,Census Area
             3.64005,            13.09066,          9,          8,02,090,Fairbanks North Star,04,Borough
             0.03130,             0.71223,         10,          9,02,180,Nome,05,Census Area
             5.99685,            15.20482,         11,         10,02,068,Denali,04,Borough
             0.88934,             7.36032,         12,         11,02,180,Nome,05,Census Area
             0.02608,             0.82158,         13,         12,02,180,Nome,05,Census Area
            11.22343,            17.28355,         14,         13,02,170,Matanuska-Susitna,04,Borough
             8.05607,            19.17933,         15,         14,02,270,Wade Hampton,05,Census Area
            15.22191,            37.19718,         16,         15,02,261,Valdez-Cordova,05,Census Area
            17.41862,            36.22596,         17,         16,02,050,Bethel,05,Census Area
             0.79239,             4.28286,         18,         17,02,020,Anchorage,12,Municipality
             3.23691,            16.54034,         19,         18,02,122,Kenai Peninsula,04,Borough
             3.64785,            13.95238,         20,         19,02,122,Kenai Peninsula,04,Borough
             7.93066,            16.42081,         21,         20,02,070,Dillingham,05,Census Area
             0.00865,             0.53432,         22,         21,02,261,Valdez-Cordova,05,Census Area
            10.52346,            30.29444,         23,         22,02,164,Lake and Peninsula,04,Borough
             0.00965,             0.40985,         24,         23,02,261,Valdez-Cordova,05,Census Area
             0.01282,             0.47074,         25,         24,02,261,Valdez-Cordova,05,Census Area
             0.06237,             1.94394,         26,         25,02,050,Bethel,05,Census Area
             0.06982,             1.54315,         27,         26,02,261,Valdez-Cordova,05,Census Area
             3.33440,            16.12704,         28,         27,02,282,Yakutat,03,City and Borough
             0.69548,             4.72448,         29,         28,02,050,Bethel,05,Census Area
             0.13094,             3.02483,         30,         29,02,261,Valdez-Cordova,05,Census Area
             0.19111,             1.92883,         31,         30,02,232,Skagway-Hoonah-Angoon,05,Census Area
             0.98475,             9.01323,         32,         31,02,100,Haines,04,Borough
             0.00078,             0.16368,         33,         32,02,232,Skagway-Hoonah-Angoon,05,Census Area
             1.38823,            10.89134,         34,         33,02,232,Skagway-Hoonah-Angoon,05,Census Area
             1.23591,             5.28546,         35,         34,02,110,Juneau,03,City and Borough
             0.21403,             2.33921,         36,         35,02,060,Bristol Bay,04,Borough
             0.65469,            11.54945,         37,         36,02,150,Kodiak Island,04,Borough
             0.01275,             0.65114,         38,         37,02,070,Dillingham,05,Census Area
             0.35979,             6.04131,         39,         38,02,150,Kodiak Island,04,Borough
             0.67877,             6.26376,         40,         39,02,232,Skagway-Hoonah-Angoon,05,Census Area
             0.48311,             5.03297,         41,         40,02,232,Skagway-Hoonah-Angoon,05,Census Area
             0.04239,             1.49644,         42,         41,02,110,Juneau,03,City and Borough
             0.58952,             5.28061,         43,         42,02,232,Skagway-Hoonah-Angoon,05,Census Area
             0.45000,             4.44156,         44,         43,02,220,Sitka,03,City and Borough
             1.59063,            14.82903,         45,         44,02,150,Kodiak Island,04,Borough
             0.68980,             5.16227,         46,         45,02,220,Sitka,03,City and Borough
             1.37569,            11.67048,         47,         46,02,280,Wrangell-Petersburg,05,Census Area
             0.06402,             1.29324,         48,         47,02,220,Sitka,03,City and Borough
             0.01516,             0.63565,         49,         48,02,016,Aleutians West,05,Census Area
             0.52414,             4.89041,         50,         49,02,280,Wrangell-Petersburg,05,Census Area
             0.32766,             4.56813,         51,         50,02,280,Wrangell-Petersburg,05,Census Area
             2.28560,            22.45393,         52,         51,02,013,Aleutians East,04,Borough
             0.01378,             0.69044,         53,         52,02,016,Aleutians West,05,Census Area
             0.03764,             1.09034,         54,         53,02,150,Kodiak Island,04,Borough
             0.03231,             0.95775,         55,         54,02,150,Kodiak Island,04,Borough
             0.01233,             0.75380,         56,         55,02,164,Lake and Peninsula,04,Borough
             0.07005,             1.14635,         57,         56,02,280,Wrangell-Petersburg,05,Census Area
             1.46912,             9.45238,         58,         57,02,201,Prince of Wales-Outer Ketchikan,05,Census Area
             1.40739,            12.76149,         59,         58,02,201,Prince of Wales-Outer Ketchikan,05,Census Area
             0.00232,             0.26833,         60,         59,02,280,Wrangell-Petersburg,05,Census Area
             0.47215,             3.86655,         61,         60,02,130,Ketchikan Gateway,04,Borough
             0.00727,             0.31243,         62,         61,02,201,Prince of Wales-Outer Ketchikan,05,Census Area
             0.06457,             1.01315,         63,         62,02,150,Kodiak Island,04,Borough
             0.01240,             0.56674,         64,         63,02,280,Wrangell-Petersburg,05,Census Area
             0.06487,             1.88081,         65,         64,02,201,Prince of Wales-Outer Ketchikan,05,Census Area
             0.01274,             0.51672,         66,         65,02,013,Aleutians East,04,Borough
             0.03629,             0.80882,         67,         66,02,130,Ketchikan Gateway,04,Borough
             0.08169,             1.94158,         68,         67,02,013,Aleutians East,04,Borough
             0.05059,             1.91935,         69,         68,02,013,Aleutians East,04,Borough
             0.05443,             1.11161,         70,         69,02,201,Prince of Wales-Outer Ketchikan,05,Census Area
             0.01740,             0.72471,         71,         70,02,013,Aleutians East,04,Borough
             0.01989,             0.84934,         72,         71,02,013,Aleutians East,04,Borough
             0.01162,             0.49339,         73,         72,02,013,Aleutians East,04,Borough
             0.02583,             0.72604,         74,         73,02,201,Prince of Wales-Outer Ketchikan,05,Census Area
             0.02317,             0.57093,         75,         74,02,013,Aleutians East,04,Borough
             0.00745,             0.34882,         76,         75,02,013,Aleutians East,04,Borough
             0.02457,             0.73685,         77,         76,02,013,Aleutians East,04,Borough
             0.02510,             1.08182,         78,         77,02,013,Aleutians East,04,Borough
             0.05041,             1.13915,         79,         78,02,013,Aleutians East,04,Borough
             0.01460,             0.65299,         80,         79,02,013,Aleutians East,04,Borough
             0.00538,             0.52040,         81,         80,02,013,Aleutians East,04,Borough
             0.42043,             6.34152,         82,         81,02,016,Aleutians West,05,Census Area
             0.23754,             3.48821,         83,         82,02,016,Aleutians West,05,Census Area
             0.00606,             0.29170,         84,         83,02,016,Aleutians West,05,Census Area
