_id,name
10180,"Abilene, TX"
10380,"Aguadilla-Isabela, PR"
10420,"Akron, OH"
10500,"Albany, GA"
10540,"Albany, OR"
10580,"Albany-Schenectady-Troy, NY"
10740,"Albuquerque, NM"
10780,"Alexandria, LA"
10900,"Allentown-Bethlehem-Easton, PA-NJ"
11020,"Altoona, PA"
11100,"Amarillo, TX"
11180,"Ames, IA"
11260,"Anchorage, AK"
11460,"Ann Arbor, MI"
11500,"Anniston-Oxford-Jacksonville, AL"
11540,"Appleton, WI"
11640,"Arecibo, PR"
11700,"Asheville, NC"
12020,"Athens-Clarke County, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA"
12100,"Atlantic City-Hammonton, NJ"
12220,"Auburn-Opelika, AL"
12260,"Augusta-Richmond County, GA-SC"
12420,"Austin-Round Rock, TX"
12540,"Bakersfield, CA"
12580,"Baltimore-Columbia-Towson, MD"
12620,"Bangor, ME"
12700,"Barnstable Town, MA"
12940,"Baton Rouge, LA"
12980,"Battle Creek, MI"
13020,"Bay City, MI"
13140,"Beaumont-Port Arthur, TX"
13220,"Beckley, WV"
13380,"Bellingham, WA"
13460,"Bend-Redmond, OR"
13740,"Billings, MT"
13780,"Binghamton, NY"
13820,"Birmingham-Hoover, AL"
13900,"Bismarck, ND"
13980,"Blacksburg-Christiansburg-Radford, VA"
14010,"Bloomington, IL"
14020,"Bloomington, IN"
14100,"Bloomsburg-Berwick, PA"
14260,"Boise City, ID"
14460,"Boston-Cambridge-Newton, MA-NH"
14500,"Boulder, CO"
14540,"Bowling Green, KY"
14740,"Bremerton-Silverdale, WA"
14860,"Bridgeport-Stamford-Norwalk, CT"
15180,"Brownsville-Harlingen, TX"
15260,"Brunswick, GA"
15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
15500,"Burlington, NC"
15540,"Burlington-South Burlington, VT"
15680,"California-Lexington Park, MD"
15940,"Canton-Massillon, OH"
15980,"Cape Coral-Fort Myers, FL"
16020,"Cape Girardeau, MO-IL"
16060,"Carbondale-Marion, IL"
16180,"Carson City, NV"
16220,"Casper, WY"
16300,"Cedar Rapids, IA"
16540,"Chambersburg-Waynesboro, PA"
16580,"Champaign-Urbana, IL"
16620,"Charleston, WV"
16700,"Charleston-North Charleston, SC"
16740,"Charlotte-Concord-Gastonia, NC-SC"
16820,"Charlottesville, VA"
